Time,Score,Player,Event Type,Team,Side,match_url
17,1:0,Dominic Solanke,Penalty Goal,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
38,1:0,Rodrigo Bentancur,Yellow Card,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
46,1:0,Diego Gómez,Substitute In,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
46,1:0,Wilson Odobert,Substitute In,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
46,1:0,Kaoru Mitoma,Substitute In,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
51,1:1,Jack Hinshelwood,Goal,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
58,1:1,Pedro Porro,Yellow Card,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
59,1:1,Joël Veltman,Substitute In,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
64,1:2,Jack Hinshelwood,Goal,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
66,1:2,Richarlison,Substitute In,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
66,1:2,Yves Bissouma,Substitute In,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
66,1:2,Ben Davies,Substitute In,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
76,1:2,Matt O'Riley,Substitute In,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
79,1:2,Joël Veltman,Yellow Card,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
80,1:2,Ben Davies,Yellow Card,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
83,1:2,Djed Spence,Substitute In,Tottenham Hotspur,home,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
88,1:3,Matt O'Riley,Penalty Goal,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
90+3,1:4,Diego Gómez,Goal,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
90+3,1:4,James Milner,Substitute In,Brighton & Hove Albion,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
25,0:1,Son Heung-min,Goal,Tottenham Hotspur,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
27,0:1,Pape Matar Sarr,Yellow Card,Tottenham Hotspur,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
40,1:1,Dominic Solanke,Own Goal,Tottenham Hotspur,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
43,1:1,Kai Havertz,Yellow Card,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
44,2:1,Leandro Trossard,Goal,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
46,2:1,Brennan Johnson,Substitute In,Tottenham Hotspur,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
46,2:1,James Maddison,Substitute In,Tottenham Hotspur,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
61,2:1,Gabriel Martinelli,Substitute In,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
77,2:1,Kieran Tierney,Substitute In,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
78,2:1,Richarlison,Substitute In,Tottenham Hotspur,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
87,2:1,Myles Lewis-Skelly,Yellow Card,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
87,2:1,Oleksandr Zinchenko,Substitute In,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
87,2:1,Mikel Merino,Substitute In,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
90+2,2:1,Gabriel Magalhães,Yellow Card,Arsenal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
