Minute,Player,Squad,xG,PSxG,Outcome,Side,match_url
3,Simon Adingra,Brighton,0.03,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
7,Mathys Tel,Tottenham,0.04,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
10,Mats Wieffer,Brighton,0.02,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
12,Simon Adingra,Brighton,0.02,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
17,Dominic Solanke(pen),Tottenham,0.79,0.92,Goal,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
25,Brajan Gruda,Brighton,0.08,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
30,Jack Hinshelwood,Brighton,0.06,0.30,Saved,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
30,Adam Webster,Brighton,0.05,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
30,Yasin Ayari,Brighton,0.02,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
37,Simon Adingra,Brighton,0.04,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
37,Carlos Baleba,Brighton,0.02,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
38,Mathys Tel,Tottenham,0.66,0.63,Saved,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
51,Adam Webster,Brighton,0.03,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
51,Jack Hinshelwood,Brighton,0.14,0.64,Goal,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
53,Diego Gómez,Brighton,0.09,0.44,Saved,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
55,Adam Webster,Brighton,0.04,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
56,Brennan Johnson,Tottenham,0.55,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
57,Yankuba Minteh,Brighton,0.07,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
62,Yankuba Minteh,Brighton,0.05,0.24,Saved,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
62,Carlos Baleba,Brighton,0.03,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
62,Jan Paul van Hecke,Brighton,0.08,0.00,Woodwork,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
64,Jack Hinshelwood,Brighton,0.39,0.72,Goal,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
68,Adam Webster,Brighton,0.11,0.00,Off Target,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
77,Carlos Baleba,Brighton,0.03,0.00,Blocked,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
82,Diego Gómez,Brighton,0.03,0.03,Saved,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
88,Matt O'Riley(pen),Brighton,0.79,0.92,Goal,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
90+3,Diego Gómez,Brighton,0.03,0.80,Goal,away,https://fbref.com/en/matches/e4bb1c35/Tottenham-Hotspur-Brighton-and-Hove-Albion-May-25-2025-Premier-League
13,Leandro Trossard,Arsenal,0.13,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
13,Thomas Partey,Arsenal,0.07,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
22,Dejan Kulusevski,Tottenham,0.27,0.34,Saved,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
25,Son Heung-min,Tottenham,0.06,0.54,Goal,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
44,Leandro Trossard,Arsenal,0.05,0.08,Goal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
45+3,Kai Havertz,Arsenal,0.05,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
46,Raheem Sterling,Arsenal,0.07,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
50,Son Heung-min,Tottenham,0.05,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
53,Kai Havertz,Arsenal,0.25,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
56,Kai Havertz,Arsenal,0.10,0.04,Saved,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
57,Brennan Johnson,Tottenham,0.05,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
59,Leandro Trossard,Arsenal,0.10,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
59,Raheem Sterling,Arsenal,0.06,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
66,James Maddison,Tottenham,0.08,0.00,Off Target,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
73,Dominic Solanke,Tottenham,0.08,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
73,Declan Rice,Arsenal,0.13,0.03,Saved,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
74,Martin Ødegaard,Arsenal,0.08,0.14,Saved,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
76,Gabriel Martinelli,Arsenal,0.04,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
77,Gabriel Magalhães,Arsenal,0.03,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
84,Martin Ødegaard,Arsenal,0.30,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
85,Dominic Solanke,Tottenham,0.12,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
87,Pedro Porro,Tottenham,0.02,0.00,Off Target,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
90+2,Dominic Solanke,Tottenham,0.06,0.00,Off Target,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
90+4,Pedro Porro,Tottenham,0.01,0.00,Woodwork,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
