fbref_name,clubelo_name
Arsenal,Arsenal
Aston Villa,Aston Villa
Barnsley,Barnsley
Birmingham City,Birmingham
Blackburn,Blackburn
Blackpool,Blackpool
Bolton,Bolton
Bournemouth,Bournemouth
Brentford,Brentford
Brighton,Brighton
Bristol City,Bristol City
Burnley,Burnley
Cardiff City,Cardiff
Charlton Ath,Charlton
Chelsea,Chelsea
Coventry City,Coventry
Crystal Palace,Crystal Palace
Derby County,Derby
Everton,Everton
Fulham,Fulham
Huddersfield,Huddersfield
Hull City,Hull
Ipswich Town,Ipswich
Leeds United,Leeds
Leicester City,Leicester
Liverpool,Liverpool
Luton Town,Luton
Manchester City,Man City
Manchester Utd,Man United
Middlesbrough,Middlesbrough
Millwall,Millwall
Newcastle Utd,Newcastle
Norwich City,Norwich
Nott'ham Forest,Forest
Oxford United,Oxford
P'borough Utd,Peterboro
Plymouth Argyle,Plymouth
Portsmouth,Portsmouth
Preston,Preston
QPR,QPR
Reading,Reading
Rotherham Utd,Rotherham
Sheffield Utd,Sheffield United
Sheffield Weds,Sheffield Weds
Southampton,Southampton
Stoke City,Stoke
Sunderland,Sunderland
Swansea City,Swansea
Tottenham,Tottenham
Watford,Watford
West Brom,West Brom
West Ham,West Ham
Wigan Athletic,Wigan
Wolves,Wolves
Wycombe,Wycombe